# Dragon Research Group (DRG)
# sshpwauth report
# 2013-12-20 13:00:02 - 2013-12-27 13:00:02
#
# To read more about SSH password authentication issues and how to
# mitigate SSH password authentication brute force attacks based on
# report data such as this, see:
#
#  <http://www.dragonresearchgroup.org/insight/sshpwauth-tac.html>
#
# README: The sshpwauth report is for free for non-commercial use
#         ONLY.  If you wish to discuss commercial use of this
#         service, please contact the Dragon Research Group (DRG)
#         for more information.  Redistribution of the sshpwauth
#         report is prohibited without the express permission of
#         the Dragon Research Group (DRG).
#
#         This report is informational.  It is not a blacklist, but some
#         operators may choose to use it to help protect their networks
#         and hosts in the forms of automated reporting and mitigation
#         services.  The data is provided on an as-is basis with no
#         expressed warranty or guarantee of accuracy.  Use of this data
#         is at your own risk.  If you have questions about this report
#         do not hesitate to contact us by any of the means below.
#
#         The Dragon Research Group (DRG) is a volunteer research
#         organization dedicated to further the understanding of
#         online criminality and to provide actionable intelligence
#         for the benefit of the entire Internet community.
#      
#               URL: <http://www.dragonresearchgroup.org>
#             email: dragon@dragonresearchgroup.org
#           PGP key: 0x47196BBF
#               IRC: irc://irc.freenode.net/drg
#           Twitter: http://twitter.com/dragonresearch
#
# Entries consist of fields with identifying characteristics of a
# a source IP address that has been seen attempting to remotely
# login to a host using SSH password authentication.  This report
# lists hosts that are highly suspicious and are likely conducting
# malicious SSH password authentication attacks.  Each entry is
# sorted according to a route origination ASN.  An entry for the
# IP address may be listed more than once if there are multiple
# origin AS (MOAS) announcements for the covering prefix.  We use
# the Team Cymru IP address to ASN mapping service to construct a
# origin AS number and name.  For details about this Team Cymru
# service, see <http://www.team-cymru.org/Services/ip-to-asn.html>.
#
# Formatting is as follows:
#
# ASN  |  ASname  |  saddr  |  utc  |  category
#
# Each field is described below.  Please note any special formatting
# rules to aid in processing this file with automated tools and scripts.
# Blank lines may be present to improve the visual display of this file.
# Lines beginning with a hash ('#') character are comment lines.  All
# other lines are report entries.  Each field is separated by a pipe
# symbol ('|') and at least two whitespace characters on either side.
#
# ASN       Autonomous system number originating a route for the entry
#           IP address. Note, 4-byte ASNs are supported and will be
#           displayed as a 32-bit integer.
#
# ASname    A descriptive network name for the associated ASN.  The
#           name is truncated to 30 characters.
#
# saddr     The source IPv4 or IPv6 address that is being reported.
#
# utc       A last seen timestamp formatted as YYYY-MM-DD HH:MM:SS
#           and in UTC time.
#
# category  Descriptive tag name for this entry.  For this report,
#           the text sshpwauth will appear.
#
680          |  DFN Verein zur Foerderung eine  |   141.52.251.250  |  2013-12-27 01:47:51  |  sshpwauth
701          |  UUNET - MCI Communications Ser  |    70.104.144.30  |  2013-12-21 00:00:29  |  sshpwauth
1267         |  ASN-INFOSTRADA WIND Telecomuni  |     151.11.201.3  |  2013-12-25 22:39:59  |  sshpwauth
1659         |  ERX-TANET-ASN1 Tiawan Academic  |   163.27.171.249  |  2013-12-25 11:07:33  |  sshpwauth
1659         |  ERX-TANET-ASN1 Tiawan Academic  |   120.113.173.65  |  2013-12-25 14:12:01  |  sshpwauth
2516         |  KDDI KDDI CORPORATION           |    106.187.36.78  |  2013-12-21 09:46:25  |  sshpwauth
2914         |  NTT-COMMUNICATIONS-2914 - NTT   |    198.172.23.11  |  2013-12-23 14:13:27  |  sshpwauth
3269         |  ASN-IBSNAZ Telecom Italia S.p.  |    95.224.16.156  |  2013-12-20 16:56:38  |  sshpwauth
3269         |  ASN-IBSNAZ Telecom Italia S.p.  |   37.205.198.162  |  2013-12-24 21:08:38  |  sshpwauth
3292         |  TDC TDC Data Networks           |    93.167.119.50  |  2013-12-22 16:43:18  |  sshpwauth
3549         |  GBLX Global Crossing Ltd.       |   201.234.178.62  |  2013-12-26 21:33:24  |  sshpwauth
3549         |  GBLX Global Crossing Ltd.       |  200.186.145.218  |  2013-12-26 03:25:01  |  sshpwauth
3786         |  LGDACOM LG DACOM Corporation    |      61.36.72.60  |  2013-12-26 00:15:42  |  sshpwauth
3786         |  LGDACOM LG DACOM Corporation    |  203.248.143.169  |  2013-12-24 09:46:10  |  sshpwauth
3786         |  LGDACOM LG DACOM Corporation    |   112.216.82.130  |  2013-12-22 17:55:38  |  sshpwauth
3816         |  COLOMBIA TELECOMUNICACIONES S.  |    190.68.58.242  |  2013-12-26 22:57:16  |  sshpwauth
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |     61.132.13.82  |  2013-12-23 19:01:38  |  sshpwauth
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |  124.173.121.186  |  2013-12-27 11:24:55  |  sshpwauth
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |   117.21.127.215  |  2013-12-25 11:24:10  |  sshpwauth
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |   222.186.15.151  |  2013-12-20 17:20:52  |  sshpwauth
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |      60.55.37.31  |  2013-12-26 14:57:47  |  sshpwauth
4134         |  CHINANET-BACKBONE No.31,Jin-ro  |   60.190.203.169  |  2013-12-21 17:43:57  |  sshpwauth
